MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000073,0.8571428571428571,0.7385431705573968,8.703328624806343,6,9,2
E02000074,0,0.21091627562361076,29.74117918004446,1,2,8
E02000075,0.8,0.7882962225498267,8.89717351764278,6,9,2
E02000077,0.6,0.5778748180494906,12.745681586608443,5,7,4
E02000078,0.4,0.5249696807263224,10.34814640356461,4,7,2
E02000079,0,0.5971221156339123,13.067737594617325,1,8,4
E02000080,0.3333333333333333,0.5014564562153018,11.92746678872953,4,6,3
E02000081,0.2,0.32308330410855435,16.31653587903639,3,4,5
E02000082,0.6666666666666666,0.6736339982653946,8.814773633998264,5,8,2
E02000083,0,0.24330962541488854,21.449695225225224,1,2,6
E02000084,0.2857142857142857,0.6106984394124846,9.105052779796512,4,8,2
E02000085,0.2,0.5662599090318389,11.577483086419754,3,7,3
E02000086,0.6,0.8458468563799189,7.6400766428282285,5,10,1
E02000087,0.6,0.6063929612950582,7.91500439753738,5,8,2
E02000088,0.8,0.8347342557868873,8.580550497866287,6,10,2
E02000089,0.8,0.8020542733958914,7.935679305097643,6,10,2
E02000090,0.2,0.41854168672515246,11.417497471214894,3,5,3
E02000091,0.3333333333333333,0.3638236511511646,12.677847819426004,4,4,3
E02000092,0,0.22472412764688338,30.79426125857441,1,2,8
E02000093,0,0.5611258979422454,18.51265270980605,1,7,6
E02000094,0,0.44912746056121733,19.701443778110946,1,6,6
E02000095,0,0.44253501539684115,18.901116121982717,1,5,6
E02000096,0,0.8647426480875234,11.05660951621478,1,10,3
E02000097,0,0.6159322113219026,19.284324330332336,1,8,6
E02000098,0,0.3615334281650071,21.869006846846844,1,4,7
E02000099,0,0.48331470739538435,18.820169756207168,1,6,6
E02000100,0,0.6687108598006174,12.250444992710552,1,8,3
E02000101,0,0.1712799167533819,27.68633350676379,1,1,8
E02000102,0,0.7346946992625002,33.10145888053041,1,9,9
E02000103,0,0.39174919640795836,28.897435159149705,1,5,8
E02000104,0,0.2612062875309078,23.181167785234898,1,3,7
E02000105,0,0.47294911762023056,21.4174492812723,1,6,6
E02000106,0,0.6173082526393489,33.326787599188044,1,8,9
